FacID,year_shut,uID
3,2015,1
3,2016,2
7,2016,2
8,2015,2
8,2019,3
10,2017,2
26,2017,4
47,2016,5
50,2014,6
50,2016,2
56,2020,3
87,2020,1
113,2015,1
113,2021,1
126,2017,1
127,2021,1
160,2019,1
207,2018,2
384,2017,4
465,2003,2
465,2013,1
465,2014,1
468,2011,1
469,2011,1
469,2012,1
469,2015,1
469,2018,1
477,2018,1
492,2017,1
492,2021,1
527,2019,1
568,2021,1
593,2011,2
594,2011,1
594,2012,1
594,2014,1
628,2019,2
641,2021,4
642,2015,2
643,2016,2
645,2019,3
646,2003,6
676,2021,1
699,2002,4
708,2019,4
709,2013,1
709,2015,3
710,2011,1
710,2012,1
727,2016,1
728,2015,6
728,2016,1
733,2015,3
856,2016,1
861,2019,2
862,2000,3
863,2012,2
864,2012,5
867,2013,2
874,2017,1
883,2008,1
884,2010,2
886,2013,1
889,2020,1
891,2019,1
892,2019,2
897,2011,2
898,2016,2
963,2021,2
964,2009,1
964,2010,1
976,2003,3
976,2020,1
981,2012,2
988,2015,4
990,2016,2
990,2017,1
991,2016,4
992,2014,1
992,2015,2
994,2021,1
995,2018,2
996,2010,3
1004,2011,3
1007,2003,3
1008,2012,2
1008,2021,2
1010,2016,5
1012,2006,1
1043,2015,2
1046,2012,3
1047,2011,2
1047,2013,1
1048,2016,1
1058,2011,4
1073,2018,1
1077,2011,1
1077,2013,2
1081,2016,1
1082,2015,2
1091,2016,2
1122,2016,1
1122,2017,1
1175,2012,2
1217,2015,1
1218,2013,1
1239,2013,2
1250,2016,1
1252,2016,1
1252,2018,1
1294,2009,1
1295,2016,2
1353,2016,2
1355,2019,2
1357,2005,3
1357,2015,2
1360,2002,1
1361,2013,1
1363,2015,3
1372,2008,1
1374,2020,2
1378,2017,2
1378,2021,1
1379,2014,1
1381,2020,3
1382,2019,2
1383,2020,1
1385,2015,2
1385,2016,2
1552,2018,2
1570,2013,2
1571,2021,2
1572,2020,3
1606,2014,1
1613,2011,1
1619,2017,3
1626,2014,3
1695,2016,2
1720,2016,2
1723,2016,3
1731,2015,1
1732,2009,4
1740,2016,1
1740,2021,1
1743,2017,1
1743,2019,1
1745,2016,4
1769,2007,1
1769,2009,2
1769,2019,5
1825,2020,1
1830,2017,1
1831,2014,1
1831,2021,5
1843,2019,1
1866,2013,1
1866,2016,1
1891,2016,2
1893,2018,2
1904,2001,2
1904,2015,2
1912,2007,4
1918,2009,1
1927,2008,2
1927,2009,1
1943,2021,2
1961,2014,1
2008,2014,1
2049,2016,2
2076,2020,1
2079,2000,1
2080,2017,1
2080,2019,2
